Epoch 713/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5129]
Epoch 714/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4717]
Epoch 715/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5215]
Epoch 716/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4580]
Epoch 717/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6271]
Epoch 718/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6583]
Epoch 719/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6351]
Epoch 720/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6284]
Epoch 721/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6242]
Epoch 722/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6194]
Epoch 723/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6460]
Epoch 724/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6448]
Epoch 725/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6315]
Epoch 726/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6385]
Epoch 727/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6544]
Epoch 728/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6493]
Epoch 729/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6472]
Epoch 730/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6314]
Epoch 731/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6218]
Epoch 732/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6195]
Epoch 733/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6045]
Epoch 734/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5908]
Epoch 735/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5979]
Epoch 736/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5983]
Epoch 737/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5774]
Epoch 738/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5179]
Epoch 739/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4988]
Epoch 740/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4335]
Epoch 741/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3944]
Epoch 742/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3899]
Epoch 743/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3781]
Epoch 744/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3696]
Epoch 745/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3843]
Epoch 746/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3601]
Epoch 747/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3508]
Epoch 748/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3578]
Epoch 749/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3462]
Epoch 750/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3324]
2026-02-14 07:54:32 | INFO | 💾 Saved Checkpoint: Epoch 749 | Loss: 1.3324
Epoch 751/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.3455]
Epoch 752/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3449]
Epoch 753/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3439]
